Year,Month,Day,Intensity,Start,Peak Time,End,Event #,Max Drop,Lat,Lon,dist.R,AR#,Count,Flare
Year,Month,Day,intensity,start, peak,end,event #,max_drop,lat,lon,dist.R,AR#,count,flare
2018,3, 2,-127,0:35,0:37,1:13,9054,219,6,58,0.87,AR 2700,28,
2018,2,12,-280,0:23,0:35,1:27,9053,61,-13,10,0.21,AR 2699,41,
2017,12,21,-56,20:05,20:05,20:31,9052,54,13,-11,0.32,AR 2692,22,
2017,12,14,-113,5:21,5:25,5:53,9051,64,-11,-42,0.7,,25,
2017,10,20,-147,23:31,23:31,0:17,9050,149,,,1.09,,32,C8
2017,10,18,-63,7:29,7:31,8:01,9049,31,,,1.13,,25,
2017,10,18,-66,5:47,5:57,6:27,9048,98,,,1.12,,29,
2017,9,28,-71,14:23,14:27,14:55,9047,85,-12,32,0.61,AR 2681,25,
2017,9,12,-51,19:27,19:29,20:15,9044,32,2,-43,0.69,AR 2680,33,C2
2017,9,12,-41,7:35,7:47,8:21,9043,73,-8,-56,0.85,AR 2680,32,C3
2017,9,10,-945,15:51,16:17,17:29,9042,"3,031",,,1.08,,58,X3
2017,9, 9,-261,22:29,22:45,23:13,9041,263,,,1.11,,31,
2017,9, 7,-12,18:19,18:19,18:45,9040,12,,,1.13,,22,C4
2017,9, 7,-58,14:43,14:47,15:17,9039,40,,,,AR 2677,26,M5
2017,9, 7,-245,10:25,10:25,10:55,9038,618,-11,48,0.79,AR 2673,24,M2
2017,9, 6,-459,12:07,12:13,13:45,9037,496,-7,43,0.71,AR 2673,58,X4
2017,9, 6,-49,9:21,9:21,9:45,9036,33,,,,AR 2674,21,M5
2017,9, 5,-13,5:11,5:11,5:37,9035,12,,,,AR 2674,22,M2
2017,9, 4,-41,20:53,21:01,21:27,9034,72,-14,41,0.73,AR 2676,25,M5
2017,9, 4,-404,18:17,18:31,19:33,9033,191,-11,9,0.35,AR 2673,47,
2017,9, 2,-515,15:33,15:41,16:37,9032,640,,,1.07,,41,C8
2017,8,28,-225,15:39,15:43,16:21,9031,236,2,28,0.49,AR 2672,30,
2017,8,24,-82,0:41,0:41,1:07,9030,220,6,56,0.84,AR 2671,22,C3
2017,8,22,-11,19:43,19:43,19:59,9029,26,,,,,17,C1
2017,8,20,-284,19:33,19:41,20:37,9028,421,,,1.07,,41,C8
2017,8,20,-116,1:49,1:49,2:21,9027,198,,,1.14,,25,C6
2017,8,19,-173,21:41,21:53,22:31,9026,149,20,-10,0.29,AR 2671,34,C5
2017,8,16,-20,8:43,8:43,9:09,9025,56,23,-48,0.76,AR 2671,22,
2017,8,15,-81,13:31,13:41,14:05,9024,48,,,1.07,,26,
2017,8, 1,-124,7:51,7:51,8:15,9023,322,,,1.13,,21,C1
2017,7,23,-44,4:55,4:55,5:27,9022,106,,,1.14,,25,
2017,7,16,-23,18:07,18:07,18:33,9021,39,,,,,22,B8
2017,7,15,-73,19:43,19:43,20:21,9020,54,,,,,28,C5
2017,7,14,-753,0:43,1:43,2:35,9019,168,-6,26,0.47,AR 2665,65,B7
2017,7,13,-41,21:59,22:03,22:35,9017,133,10,72,0.96,,27,B8
2017,7,13,-13,20:15,20:19,20:55,9016,36,,,,AR 2666,29,C6
2017,7,11,-108,20:45,20:47,21:11,9014,129,-6,-8,0.23,AR 2665,20,B9
2017,7, 3,-130,16:17,16:21,16:49,9013,155,,,1.08,,25,C2
2017,6,20,-112,5:45,5:51,6:25,9012,79,,,1.08,,29,
2017,6,19,-125,4:35,4:35,5:07,9011,222,,,1.04,,25,
2017,6,15,-27,8:59,9:03,9:35,9010,52,,,1.1,,27,
2017,6,13,-248,18:59,19:01,19:49,9009,147,,,1.09,,34,
2017,6, 7,-183,16:57,16:57,17:21,9008,245,5,-1,0.09,AR 2661,21,
2017,6, 5,-207,5:27,5:31,5:57,9007,349,4,-36,0.59,AR 2661,24,C3
2017,6, 2,-113,18:01,18:01,18:35,9006,224,3,-75,0.98,AR 2661,26,C5
2017,6, 1,-78,1:47,1:47,2:27,9005,143,,,1.11,,29,C3
2017,5,24,-61,13:37,13:37,14:01,9004,92,,,,AR 2659,21,
2017,4,30,-163,0:27,0:29,1:01,9003,159,-15,35,0.6,AR 2653,26,
2017,4,23,-55,17:49,17:51,18:17,9002,53,44,5,0.77,,23,
2017,4,23,-34,16:01,16:01,16:25,9001,9,37,5,0.68,AR 2651,21,
2017,4,23,-22,5:51,5:51,6:15,9000,7,,,,AR 2651,21,
2017,4,18,-742,19:39,19:53,20:33,8999,379,,,1.11,,23,C3
2017,4,18,-28,9:43,9:47,10:19,8998,63,,,,,27,C3
2017,4,12,-44,14:39,14:39,15:05,8997,85,19,-32,0.65,AR 2650,22,
2017,4, 3,-208,14:33,14:39,15:07,8996,396,,,1.05,,26,M6
2017,4, 2,-2,18:45,18:51,19:19,8995,13,,,,AR 2645,26,M1
2017,4, 2,-17,2:57,2:57,3:25,8994,55,-15,6,0.18,AR 2645,23,C3
2017,4, 1,-10,23:11,23:13,23:41,8993,50,-21,18,0.39,AR 2645,24,C4
2017,4, 1,-100,21:53,21:57,22:37,8992,148,21,48,0.83,AR 2644,31,M3
2017,3,27,-40,11:33,11:33,11:57,8991,84,-9,-72,0.95,,21,C2
2017,3,21,-1,0:01,0:01,0:25,8990,7,,,,,21,
2017,2,19,-24,5:41,5:41,6:07,8989,59,11,0,0.31,AR 2636,22,
2017,1,31,-22,8:39,8:43,9:09,8988,44,-13,3,0.14,AR 2631,24,
2017,1,28,-34,21:09,21:13,21:39,8987,63,0,78,0.99,AR 2628,24,C3
2017,1,25,-73,11:05,11:05,11:29,8986,128,19,16,0.49,AR 2628,21,
2017,1,14,-105,7:49,7:49,8:17,8985,111,,,1.05,,23,
