Event #,GOES Flare Start Time,GOES Flare Peak Time,GOES Flare Time to Peak In Sec,Flare Class Converted,17.1 Depth [%],17.7 Depth [%],18.0 Depth [%],19.5 Depth [%],20.2 Depth [%],21.1 Depth [%],28.4 Depth [%],Quad Depth [%],17.1 Pre-Flare Irradiance [W/m2],17.7 Pre-Flare Irradiance [W/m2],18.0 Pre-Flare Irradiance [W/m2],19.5 Pre-Flare Irradiance [W/m2],20.2 Pre-Flare Irradiance [W/m2],21.1 Pre-Flare Irradiance [W/m2],28.4 Pre-Flare Irradiance [W/m2],Quad Pre-Flare Irradiance [W/m2],17.1 Duration [s],17.7 Duration [s],18.0 Duration [s],21.1 Duration [s],19.5 Duration [s],20.2 Duration [s],28.4 Duration [s],Jedi Intensity 17.1,Jedi Intensity 17.7,Jedi Intensity 18.0,Jedi Intensity 19.5,Jedi Intensity 20.2,Jedi Intensity 21.1,Jedi Intensity 28.4,Jedi Intensity Quad,Has DEMON Dimming,Intensity,Max Drop,Demon Event #,Fraction of dimming on disk,Fractional size of off-limb dimming contribution,Off-Limb Percent,Is Off-Limb
9.0,2010-06-12 00:30:00.000,2010-06-12 00:57:00.000,1620.0,2000,0.4200381848663888,0.6726517366216527,,,,,,0.7930273863656764,5.261163823888637e-05,3.2739604648668326e-05,,,,,,6.196665386101265e-05,,,,,,,,2.2098897028708923e-05,2.2022351923233082e-05,,,,,,4.9141253553225415e-05,True,-98.0,84.0,4324.0,0.0106581,0.00017256700000000002,1.5933183062502063,False
11.0,2010-06-12 09:02:00.000,2010-06-12 09:17:00.000,900.0,610,0.2356935398142869,,,,,,,0.2356935398142869,5.261163823888637e-05,3.2739604648668326e-05,,,,,,6.196665386101265e-05,5820.0,,,,,,,1.2400223251951824e-05,,,,,,,1.460513999894872e-05,True,-61.0,104.0,4325.0,0.00462765,8.22e-06,0.17731299626607305,False
12.0,2010-06-13 05:30:00.000,2010-06-13 05:39:00.000,540.0,1000,,,,,,,,0.0,5.356363787238176e-05,,,,,,,5.356363787238176e-05,,,,,,,,,,,,,,,,True,-370.0,376.0,4326.0,0.000287767,0.0275435,98.96602982537588,True
19.0,2010-06-14 00:44:00.000,2010-06-14 00:51:00.000,420.0,150,,,,,1.5709111193919028,,,1.5709111193919028,,,,,2.551806634680057e-05,,,2.551806634680057e-05,,,,,,,,,,,,4.008661416956932e-05,,,4.008661416956932e-05,True,-86.0,215.0,4327.0,0.0005014469999999999,0.00651059,92.84876848196893,True
21.0,2010-07-09 08:53:00.000,2010-07-09 09:01:00.000,480.0,180,0.5709290893359977,0.5550220768791938,,,,,,0.796247154389468,5.603433843740883e-05,3.584505005467994e-05,,,,,,6.651852897907908e-05,,16440.0,,,,,,3.1991633815614914e-05,1.9894794127187118e-05,,,,,,5.296518941376508e-05,True,-10.0,6.0,4334.0,8.24e-06,0.000535575,98.4847788310363,True
22.0,2010-07-09 19:26:00.000,2010-07-09 19:51:00.000,1500.0,340,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,True,-85.0,111.0,4335.0,8.23e-06,0.00642245,99.87201975529804,True
26.0,2010-07-17 17:27:00.000,2010-07-17 18:01:00.000,2040.0,240,,,,,,,,0.0,,,,,,1.3553525301783035e-05,,1.3553525301783035e-05,,,,,,,,,,,,,,,,True,-324.0,162.0,4338.0,0.0128781,8.23e-06,0.0638661279045314,False
31.0,2010-08-05 20:39:00.000,2010-08-05 21:35:00.000,3360.0,130,,,,0.22533919353596504,,,,0.22533919353596504,,,,3.734842781947615e-05,,,,3.734842781947615e-05,,,,,,,,,,,8.416064604676957e-06,,,,8.416064604676957e-06,True,-66.0,62.0,4348.0,0.00275403,0.00374581,57.62926472036235,False
32.0,2010-08-07 17:55:00.000,2010-08-07 18:24:00.000,1740.0,1000,1.4662331321233282,,,,,,,1.4662331321233282,5.853577871069623e-05,,,,,,,5.853577871069623e-05,25260.0,,,,,,,8.582709816026216e-05,,,,,,,8.582709816026216e-05,True,-861.0,686.0,4350.0,0.0511039,6.55e-05,0.1280061912002095,False
37.0,2010-08-17 23:05:00.000,2010-08-18 00:01:00.000,3360.0,150,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,True,-44.0,26.0,4358.0,8.16e-06,0.0067925,99.88001164592848,True
